Year,CHIRPS_Precipitation,Region
2016,1414.557121038437,Boyaca
2017,1391.0370543003082,Boyaca
2018,1186.5242265462875,Boyaca
2019,1220.2520738244057,Boyaca
2020,1374.3314839154482,Boyaca
2021,1353.6520981788635,Boyaca
2022,1778.5868924856186,Boyaca
2023,1659.9516501426697,Boyaca
2024,1555.3166344352067,Boyaca
2000,54.661418437957764,Kanem
2001,52.310751622215804,Kanem
2002,59.33169347047806,Kanem
2003,55.90334524214268,Kanem
2004,27.90633714199066,Kanem
2005,92.13594137339818,Kanem
2006,46.15340542793274,Kanem
2007,70.27472776174545,Kanem
2008,57.8170023560524,Kanem
2009,45.27589005231857,Kanem
2010,92.55606123805046,Kanem
2011,61.91810092329979,Kanem
2012,98.28428912162781,Kanem
2013,61.03358443081379,Kanem
2014,52.66759056970477,Kanem
2015,65.18050897651048,Kanem
2016,89.49345917254686,Kanem
2017,79.65636833914252,Kanem
2018,66.78438088103326,Kanem
2019,88.37734301661769,Kanem
2020,87.7611162489327,Kanem
2021,73.95464634895325,Kanem
2022,108.4835779781159,Kanem
2023,62.77847483381629,Kanem
2024,183.66328981547235,Kanem
2000,1053.571058511734,Harare
2001,1110.370657801628,Harare
2002,438.63962745666504,Harare
2003,624.1936022043228,Harare
2004,939.150910615921,Harare
2005,755.7286952733994,Harare
2006,640.14628636837,Harare
2007,987.2356631755829,Harare
2008,997.1985877156258,Harare
2009,873.2451170682907,Harare
2010,770.8320288658142,Harare
2011,1018.7721502780914,Harare
2012,682.3121033906937,Harare
2013,832.6128284931183,Harare
2014,855.8683052062988,Harare
2015,589.1312626600266,Harare
2016,842.8798989057541,Harare
2017,1004.8477540016174,Harare
2018,794.3413520135459,Harare
2019,700.7732116375118,Harare
2020,761.9515298533864,Harare
2021,658.2480714321136,Harare
2022,900.970373686403,Harare
2023,883.1908164024353,Harare
2024,453.95573277050926,Harare
2000,1363.2125879526138,Tachira
2001,923.624636054039,Tachira
2002,1110.6035838723183,Tachira
2003,1414.4532326459885,Tachira
2004,1554.8491333723068,Tachira
2005,1592.178529202938,Tachira
2006,1175.7138471603394,Tachira
2007,1358.5399225354195,Tachira
2008,1606.0572785139084,Tachira
2009,1195.5722583532333,Tachira
2010,2103.31623929739,Tachira
2011,1830.6534262895584,Tachira
2012,1351.7066045999527,Tachira
2013,1108.047367811203,Tachira
2014,878.0974705815315,Tachira
2015,813.9517621397972,Tachira
2016,954.4731464385986,Tachira
2017,953.0520895123482,Tachira
2018,980.7387727200985,Tachira
2019,923.3169546723366,Tachira
2020,971.6820923669584,Tachira
2021,1128.2086347341537,Tachira
2022,1565.5130615234375,Tachira
2023,1409.8951503038406,Tachira
2024,1125.2081222832203,Tachira
2000,611.6632025241852,Hamgyong-bukto
2001,661.087017416954,Hamgyong-bukto
2002,519.133041203022,Hamgyong-bukto
2003,644.4307555556297,Hamgyong-bukto
2004,770.8876239061356,Hamgyong-bukto
2005,786.4785050153732,Hamgyong-bukto
2006,656.9434928297997,Hamgyong-bukto
2007,1022.6904461085796,Hamgyong-bukto
2008,595.4314472675323,Hamgyong-bukto
2009,743.334729462862,Hamgyong-bukto
2010,1129.3470259904861,Hamgyong-bukto
2011,752.392286837101,Hamgyong-bukto
2012,1001.0631456375122,Hamgyong-bukto
2013,1107.5062703490257,Hamgyong-bukto
2014,560.8864020109177,Hamgyong-bukto
2015,774.491380572319,Hamgyong-bukto
2016,818.2776108980179,Hamgyong-bukto
2017,773.3572509288788,Hamgyong-bukto
2018,790.6199196418747,Hamgyong-bukto
2019,717.3326870317105,Hamgyong-bukto
2020,1167.0761808156967,Hamgyong-bukto
2021,940.9218845367432,Hamgyong-bukto
2022,1095.7868548622355,Hamgyong-bukto
2023,1073.4339355230331,Hamgyong-bukto
2024,1417.547721176415,Hamgyong-bukto
2000,771.1272077560425,Matabeleland South
2001,501.082720041275,Matabeleland South
2002,234.70013046264648,Matabeleland South
2003,337.3528411388397,Matabeleland South
2004,499.4539119005203,Matabeleland South
2005,383.6536943912506,Matabeleland South
2006,667.8756554424763,Matabeleland South
2007,464.6459937095642,Matabeleland South
2008,328.3979754447937,Matabeleland South
2009,553.6845304965973,Matabeleland South
2010,479.8238549232483,Matabeleland South
2011,488.05809235572815,Matabeleland South
2012,284.07631850242615,Matabeleland South
2013,497.0549244880676,Matabeleland South
2014,634.930999994278,Matabeleland South
2015,273.3491479754448,Matabeleland South
2016,571.7609262466431,Matabeleland South
2017,720.137668132782,Matabeleland South
2018,459.8621372957758,Matabeleland South
2019,366.03887535738977,Matabeleland South
2020,611.9999885284362,Matabeleland South
2021,661.5790772438049,Matabeleland South
2022,343.7367651358245,Matabeleland South
2023,359.08567547798157,Matabeleland South
2024,391.88599999401947,Matabeleland South
2000,1036.1870905160904,Nueva Segovia
2001,1013.8868227005005,Nueva Segovia
2002,1055.4190034866333,Nueva Segovia
2003,1080.0795559883118,Nueva Segovia
2004,1031.7888877391815,Nueva Segovia
2005,1549.5141724348068,Nueva Segovia
2006,1005.0212746858597,Nueva Segovia
2007,1249.5634818077087,Nueva Segovia
2008,1338.718109846115,Nueva Segovia
2009,867.73402094841,Nueva Segovia
2010,1694.8419969081879,Nueva Segovia
2011,1324.5541833639145,Nueva Segovia
2012,1244.8387435674667,Nueva Segovia
2013,1359.433627486229,Nueva Segovia
2014,797.005686879158,Nueva Segovia
2015,871.9403824806213,Nueva Segovia
2016,1072.8751400709152,Nueva Segovia
2017,1168.6430404186249,Nueva Segovia
